"-OR-","-ALI-"
"Fee Amount","Znesek provizije"
"Fee Debit or Credit","Provizija za debet ali kredit"
"Fee Reversal","Vračljiva provizija"
"Fee: Foreign ACH Withdrawal","Provizija: tuji ACH dvig"
"Fee: Mass Pay Request","Provizija: Zahteva po masovnem plačilu"
"Fee: Web Site Payments Pro Account Monthly","Provizija: Plačila spletne strani po računu mesečno"
"Fee: WorldLink Check Withdrawal","Provizija: Dvig WorldLink čeka"
"Fetch","Pridobi"
"Fetch Updates","Pridobi posodobitve"
"Fetched %s report rows from '%s@%s'.","Pridobljeno %s vrstic zapisa iz '%s@%s'."
"Frontend Experience Settings","Nastavitve izkušnje uporabniških strani"
"Funding","Nakazilo"
"General (Authorization)","Splošno (potrditev)"
"General (Dividend)","Splošno (dividenda)"
"General (Funds Transfer from PayPal Account to Another)","Splošno (prenos sredstev iz PayPal računa na drug račun)"
"General (Purchase with a credit card)","Splošno(Nakupi s kreditno kartico)"
"General Adjustment without businessrelated event","Splošno Prilagoditve brez dogodkov povezanih s poslom"
"General Currency Conversion","Splošno Pretvornik valut"
"General Funding of PayPal Account ","Splošno Nakazilo na PayPal račun"
"General Redemption","Splošno Odkup"
"General Withdrawal from PayPal Account","Splošno Dvig iz PayPal računa"
"General. Product no longer supported","Splošno. Izdelek nima več podpore"
"General: Use of PayPal account for purchasing as well as receiving payments","Splošno: Uporaba Paypal računa za nakupovanja kot tudi za prejemanje plačil"
"General: Withdrawal from PayPal Account","Splošno: Dvig iz PayPal računa"
"General: Withdrawal to Non-Bank Entity","Splošno: Dvig v nebančno enoto"
"General: adjustment of a type not belonging to the other T12xx categories","Splošno: prilagoditev tipa, ki ne pripada drugim T12xx kategorijam"
"General: bonus of a type not belonging to the other T08xx categories","Splošno: bonus tipa, ki ne pripada drugim T08xx kategorijam"
"General: event not yet categorized","Splošno: dogodek, ki še ni kategoriziran"
"General: non-payment fee of a type not belonging to the other T01xx categories","Splošno: neplačilo pristojbine za tip, ki ne spada v druge T01xx kategorije"
"General: received payment of a type not belonging to the other T00xx categories","Splošno: prejeto plačilo za tip, ki ne spada v druge T00xx kategorije"
"General: reversal of a type not belonging to the other T11xx categories","Splošno: inverzija za tip, ki ne spada v druge T11xx kategorije"
"General: temporary hold of a type not belonging to the other T15xx categories","Splošno: začasno zadržanje za tip, ki ne spada v druge T15xx kategorije"
"Get Credentials from PayPal","Pridobi poverilnico od PayPala"
"Gift Certificate Payment: purchase of Gift Certificate","Plačilo s plačilnim bonom: nakup plačilnega bona"
"Gift Certificate Redemption","Odkup plačilnega bona"
"Gross Amount","Brutto znesek"
"Header Background Color","Barva ozadja glave"
"Header Border Color","Barva obrobe glave"
"Header Image URL","URL slike glave"
"Help","Pomoč"
"Hidden Virtual PayPal Debit Card Transaction","Skrita navidezna PayPal transakcija z debetno kartico"
"Hold for Dispute Investigation","Zadrževanje za preiskavo o sporu"
"IPN ""%s"".","IPN ""%s""."
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Če je prazno, bo uporabljena privzeta vrednost. Predviden je URL po meri po CardinalCommerce dogovoru."
"If not specified, Default Country from General Config will be used","Če ni določeno, bo uporabljena privzeta država iz splošne konfiguracije"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Če je omogočena ta možnost, lahko stranka zamenja naslov za dostavo in način pošiljanja na PayPalovi strani. V načinu v živo dela samo preko HTTPS protokola."
"Impossible to issue a refund transaction because the capture transaction does not exist.","Nemogoče je izdati povračilo, ker zajeta transkcija ne obstaja."
"Incentive","Spodbujevalni"
"Initiation Date","Datum začetka"
"Invoice ID","ID računa "
"Issuer Liability","Odgovornost izdajatelja"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","Prporočeno je, da se ta vrednost nastavi na ""Debetna ali Kreditna kartica"" v pogledu na trgovino."
"It is recommended to set this value to ""PayPal"" per store views.","Priporočeno je, da se ta vrednost nastavi na  ""PayPal"" v pogledu na trgovino."
"Items in Your Shopping Cart","Izdelki v vaši nakupovalni košarici"
"Last Correlation ID","Zadnji primerjalni ID"
"Last Transaction ID","ID zadnje transakcije"
"Learn More","Več o tem"
"Login","Prijava"
"Looking for PayPal? We have our own tab to the left under Sales.","Iščete PayPal? Poiščite že obstoječi zavihek na levi pod Prodajo"
"Mass Pay Payment","Masovno plačilo"
"Matched (CVV2)","Ujemanje (CVV2)"
"Matched (CVV2CSC)","Ujemanje (CVV2CSC)"
"Matched Address only (no ZIP)","Samo ujemanje naslova (brez poštne številke)"
"Matched Address only (no ZIP). International","Samo ujemanje naslova (brez poštne številke). Mednarodno"
"Matched Postal Code only (no Address)","Samo ujemanje poštne številke (brez naslova)"
"Matched five-digit ZIP only (no Address)","Samo ujemanje štirimestne poštne številke (brez naslova)"
"Matched whole nine-didgit ZIP (no Address)","Ujemanje celotne poštne številke"
"Merchant Account","Račun trgovca"
"Merchant Country","Država trgovca"
"Merchant Liability","Odgovornost trgovca"
"Merchant Protection Eligibility","Upravičenost zaščite trgovca"
"Merchant Referral Bonus","Bonus trgovca za napotene stranke"
"Merchant holds a non-U.S. account and does not have a withdrawal mechanism.","Trgovec ima neameriški račun in nima možnosti dviga."
"Merchant reference ID format is not supported.","Format referenčne ID trgovca ni podprt."
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","Trgovci se morajo prijaviti na PayPal, da se omogoči funkcija pogodbe o plačevanju. Ne omogočite te možnosti prej, preden PayPal ne potrdi, da je pogodba o plačevanju omogočena za vaš trgovski račun. "
"Mobile Payment (made via a mobile phone)","Mobilno plačilo (izvedeno preko mobilnega telefona)"
"N/A. Address not checked, or acquirer had no response. Service not available","N/A. Naslov ni preverjen, ali prevzemnik ni odgovoril. Storitev ni na voljo."
"N/A. Global Unavailable","N/A. Globalno ni na voljo."
"N/A. International Unavailable","N/A. Mednarodno ni na voljo"
"N/A. Merchant has indicated that CVV2 is not present on card","N/A.Trgovec je označil, da CVV2 ni prisoten na kartici"
"N/A. No response","N/A. Ni odgovora"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N/A. Ni dovoljeno za MOTO (Internet/Telefon) transakcije"
"N/A. Not processed","N/A. Ni izvedeno"
"N/A. Retry","N/A. Poskusi ponovno"
"N/A. Service not Supported","N/A. Storitev ni podprta"
"N/A. Service not available","N/A. Storitev ni na voljo"
"N/A. Service not supported","N/A. Storitev ni podprta"
"N/A. The merchant did not provide AVS information","N/A. Trgovec ni predložil AVS informacije"
"N/A. The merchant has not implemented CVV2 code handling","N/A. Trgovec ni uveljavil uporabe kode CVV2"
"N/A. Unavailable","N/A. Ni na voljo"
"Negative Balance","Negativni saldo"
"Never","Nikoli"
"No","Ne"
"No Details matched","Nobena podrobnost se ne ujema"
"No Details matched. International","Nobena podrobnost se ne ujema. Mednarodno"
"No Liability Shift","Ni odpovedi odgovornosti"
"No Logo","Ni logotips"
"No match","Ni ujemanja"
"None of the address information matched","Noben od podatkov naslova se ne ujema"
"Note: %s","Opomba: %s"
"Nothing to fetch because of an empty configuration.","Zaradi nepopolne konfiguracije ne morem pridobiti podatkov"
"Notified customer about creditmemo #%s.","Stranka obveščena o dobropisu #%s."
"Notified customer about invoice #%s.","Stranka obveščena o računu #%s."
"Now accepting PayPal (150 X 40)","Sedaj sprejemamo PayPal (150 X 40)"
"Now accepting PayPal (150 X 60)","Sedaj sprejemamo PayPal (150 X 60)"
"Open Authorization","Odprto potrjevanja"
"Order","Naročilo"
"Order ID","ID naročila"
"Page Background Color","Barva ozadja strani"
"Page Style","Stil strani"
"Part of the address information matched","Del podatkov naslova se ujema"
"Partner","Partner"
"Password","Geslo"
"PayPal","PayPal"
"PayPal Balance Manager function of PayPal account","PayPal funkcija upravitelja stanja v PayPal računu"
"PayPal Buyer Warranty Bonus","PayPal bonus kupčeve garancije"
"PayPal Debit Card Cash Advance","PayPal debetna kartica Cash Advance"
"PayPal Debit Card Withdrawal from ATM","PayPal dvig na bankomatu z debetno kartico"
"PayPal Express Checkout Shortcut Wrapper","PayPal Express Checkout obod bližnjice"
"PayPal Express Checkout Token does not exist.","PayPal Express Checkout žeton ne obstaja"
"PayPal Express Order Review Form","PayPal Express obrazec mnenja o naročilu"
"PayPal Fee Information","PayPal podatki o proviziji"
"PayPal Merchant Pages Style","PayPal stil trgovske strani"
"PayPal Product Logo","PayPal logotip izdelka"
"PayPal Protection Bonus","PayPal bonus zaščite "
"PayPal Reference ID","PayPal ID referenca"
"PayPal Reference ID Type","PayPal tip ID reference"
"PayPal Settlement Reports","PayPal poročilo poravnave"
"PayPal does not support processing orders with zero amount. To complete your purchase, proceed to the standard checkout process.","PayPal ne podpira naročil z zneskom 0. Da bi zaključili vaš nakup, nadaljujte z običajnim postopkom zaključka naročila."
"PayPal gateway has rejected request. %s","PayPal prehod je zavrnil zahtevo. %s"
"PayPal processes all of your orders, and you get paid.","PayPal je izvršil vsa vaša naročila in prejeli ste plačilo."
"PayPal retains reports for 45 days.","PayPal hrani poročila 45 dni."
"PayPal/Centinel Electronic Commerce Indicator","PayPal/Centinel kazalec elektronskega poslovanja"
"PayPal/Centinel Visa Payer Authentication Service Result","PayPal/Centinel Visa rezultat servisa potrjevanja plačnika"
"Payer Address ID","ID naslova plačnika"
"Payer Address Status","Stanje naslova plačnika"
"Payer Email","E-pošta plačnika"
"Payer Email: %s","E-pošta plačnika: %s"
"Payer ID","ID plačnika"
"Payer Status","Stanje plačnika"
"Payer is not identified.","Plačnik ni identificiran"
"Payflow Pro Gateway","Payflow Pro prehod"
"Payflow Pro Settings","Payflow Pro nastavitve"
"Payment Action","Aktivnost plačila"
"Payment Applicable From","Plačilo velja od"
"Payment Method","Način plačila"
"Payment Refund initiated by merchant","Povračilo plačila začeto s strani trgovca"
"Payments by PayPal (150 X 40)","Plačila s PayPal (150 X 40)"
"Payments by PayPal (150 X 60)","Plačila s PayPal (150 X 60)"
"Paypal Billing Agreement Settings","Paypal nastavitve pogodbe o plačevanju"
"Pending PayPal","Čakajoč na PayPal"
"Place Order","Naročite"
"Please select a shipping method...","Prosimo, izberite način dostave"
"Points Incentive Redemption","Odkup spodbujevalnih točk"
"Postage Payment to either USPS or UPS","Plačilo poštnine USPS ali UPS"
"Preapproved Payment (BillUser API), either sent or received","Vnaprej odobrena plačila (BillUserAPI), tako poslana kot prejeta "
"Preapproved Payment ID","ID vnaprej odobrenih plačil"
"Price","Cena"
"Process credit cards directly on your website with PayPal’s all-in-one online payment processing solution.","Procesirajte kreditne kartice neposredno na vaši spletni strani s PayPal-ovo vse v enem online rešitvijo procesov plačil. "
"Product Name","Ime izdelka"
"Proxy Host","Proxy gostitelj"
"Proxy Port","Proxy port"
"Qty","Količina"
"Reauthorization","Ponovno potrjevanje"
"Reference Information","Podatki o referenci"
"Refund issued by merchant.","Povračilo je izdal trgovec"
"Reimbursement for a chargeback.","Povračilo za plačilo."
"Reimbursement of Chargeback","Povračilo plačil"
"Report Date","Datum poročila"
"Reports","Poročila"
"Require CVV Entry","Zahteva CVV vnos"
"Reversal","Vračilo"
"Reversal of General Account Hold","Inverzija splošnega zadržanja računa"
"Reversal of Points Usage","Inverzija točk uporabe"
"Reversal of an adjustment.","Inverzija prilagoditve"
"Reversal of hold for Dispute Investigation","Inverzija ob zadrževanju za preiskavo o sporu"
"Review Order","Pregled naročila"
"Reward Voucher Redemption","Odkup nagradnega bona"
"SFTP Credentials","SFTP poverilnica"
"Sale","Prodaja"
"Sales","Prodaja"
"Sandbox Credentials","Poverilnica peskovnika"
"Sandbox Mode","Način peskovnika"
"Schedule","Urnik"
"Schedule description is too long.","Opis urnika je predolg."
"Scheduled Fetching","Pridobivanje po urniku"
"Select a PayPal Solution","Izberite PayPal rešitev"
"Settlement Consolidation","Konsolidacija rešitve"
"Settlement Report Settings","Nastavitve poročila o rešitvi"
"Settlement of a chargeback.","Rešitev povračila."
"Severe 3D Secure Card Validation","Stroga 3D Secure preveritev kartice"
"Severe Validation Removes Chargeback Liability on Merchant","Stroga potrditev odstrani povračilo za odgovornost pri trgovcu"
"Severe validation removes chargeback liability on merchant.","Stroga potrditev odstrani povračilo za odgovornost pri trgovcu"
"Shipping","Dostava"
"Shipping Address","Naslov dostave"
"Shipping Information","Podatki o dostavi"
"Shipping Method","Način dostave"
"Shop now using (150 X 40)","Trgovina sedaj uporablja (150 X 40)"
"Shop now using (150 X 60)","Trgovina sedaj uporablja (150 X 60)"
"Shortcut","Bližnjica"
"Shortcut Buttons Flavor","Bližnjica za gumbe okusa"
"Shortcut on Product View","Bližnjica na pogledu na izdelek"
"Shortcut on Shopping Cart","Bližnjica na nakupovalni košarici"
"Sign a billing agreement to streamline further purchases with PayPal.","Podpišite pogodbo o plačevanju za poenostavitev nadaljnih nakupov s PayPalom."
"Solo","Samostojno"
"Sorry, no quotes are available for this order at this time.","Žal, trenutno ni na voljo predračunov za to naročilo."
"Sort Order","Vrstni red"
"Static","Statični"
"Submitting order information...","Pošiljanje podatkov o naročilu …"
"Subscriber name is too long.","Ime naročnika je predolgo."
"Subscription ID","ID naročnine"
"Subscription Payment, either payment sent or payment received","Plačilo naročnine, bodisi plačilo poslano ali prejeto "
"Subtotal","Vmesni seštevek"
"Summary Text for Aggregated Cart","Povzetek besedila za združeno košarico"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Podpora American Express kartice zahteva dodatno pogodbo. Več na  <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"Switch/Maestro","Switch/Maestro"
"Test Mode","Testni način"
"The background color for the checkout page around the header and payment form.","Barva ozadja na strani zaključka naročila okoli glave in obrazca za plačilo."
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","Barva ozadja glave na strani zaključka naročila.  Občutljiva za velike in male črke, šestmestna HTML heksadecimalna koda barve v ASCII."
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","Slika zgoraj levo na strani zaključka naročila. Največja velikost je 750x90 pikslov. <strong style=""color:red"">https</strong> je zelo priporočljiv."
"The merchant account is not yet verified.","Trgovčev račun še ni potrjen."
"The payment curency does not match any of the merchant\'s balances currency.","Valuta plačil se ne ujema z nobeno trgovčevo valuto stanja. "
"The payment eCheck is not yet cleared.","Plačilo z eCheck še ni obračunano."
"The payment is authorized but not settled.","Plačilo je potrjeno, vendar še ni poravnano."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","Plačilo je na čakanju, ker je bilo izvedeno na E-poštni naslov, ki še ni registriran ali potrjen. "
"The payment is pending while it is being reviewed by PayPal for risk.","Plačilo je na čakanju med časom, ko ga PayPal pregleduje za kakršnokoli tveganje."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","Plačilo je bilo izvedeno preko kreditne kartice. Da bi trgovec prejel sredstva, mora nadgraditi račun v Business ali Premier stanje."
"Time of Day","Čas dneva"
"Title","Naslov"
"Transaction ID","ID transakcije"
"Transaction Information","Podatki o transakciji"
"Transfer Cart Line Items","Prenesi izdelke košarice "
"Transfer Shipping Options","Prenesi možnosti dostave"
"Triggered Fraud Filters","Sproženi filtri goljufij"
"Unable to cancel Express Checkout.","Ne morem preklicati Express Checkout."
"Unable to change status. Current status is not correspond to real status.","Stanja ne morem preklicati. Trenutno stanje ne ustreza resničnemu stanju."
"Unable to communicate with the PayPal gateway.","Ne morem komunicirati s PayPal prehodom."
"Unable to initialize Express Checkout review.","Ne morem začeti Express Checkout pregleda."
"Unable to initialize Express Checkout.","Ne morem začeti Express Checkout."
"Unable to place the order.","Naročila ne morem oddati."
"Unable to process Express Checkout approval.","Ne morem obdelati Express Checkout odobritve."
"Unable to start Express Checkout.","Ne morem začeti Express Checkout."
"Unable to update shipping method.","Ne morem posodobiti načina dostave"
"Unknown reason. Please contact PayPal customer service.","Neznan razlog. Prosimo, kontaktirajte PayPal servis za stranke."
"Update Shipping Method","Posodobi način dostave"
"Use Proxy","Uporabi Proxy"
"Use colon to specify port. For example: ""test.example.com:5224"".","Uporabi dvopičje za določitev porta. Na primer: ""test.primer.com:5224""."
"User","Uporabnik"
"User-initiated Currency Conversion","Menjava valut na uporabnikovo željo"
"Uses store frontend name by default.","Uporablja privzeto ime uporabnikove strani trgovine v "
"Vendor","Prodajalec "
"View","Prikaži"
"View Demo","Prikaži preizkus"
"View PayPal solutions.","Prikaži PayPal rešitve"
"View Transaction","Prikaži transakcijo"
"View Transaction Details","Prikaži podrobnosti transakcije"
"Virtual PayPal Debit Card Transaction","Navidezna transakcija PayPal debetne kartice"
"Virtual Terminal Payment","Navidezno končno plačilo"
"Void","Razveljavljen"
"We prefer PayPal (150 X 40)","Raje imamo PayPal (150 X 40)"
"We prefer PayPal (150 X 60)","Raje imamo PayPal (150 X 60)"
"Website Payments Pro","Spletna stran Payments Pro"
"Website Payments Pro (Payflow Edition) Settings","Spletna stran Payments Pro (Payflow Edition) nastavitve"
"Website Payments Pro Payflow Edition (includes Express Checkout)","Spletna stran Payments Pro Payflow Edition (vključuje Express Checkout)"
"Website Payments Pro Settings","Spletna stran Payments Pro nastavitve"
"Website Payments Standard","Spletna stran Payments Standard"
"Website Payments Standard Payment","Spletna stran Payments Standard plačila"
"Website Payments Standard Settings","Spletna stran Payments Standard nastavitve"
"What is PayPal?","Kaj je PayPal?"
"Whether to create a billing agreement, if there are no active billing agreements available.","Ali naj ustvarim pogodbo o plačevanju, če ni na voljo nobene aktivne pogodbe o plačevanju ?"
"Will appear as a payment option only for customers who have at least one active billing agreement.","Bo prikazano kot možnost plačila, samo za stranke, ki imajo vsaj eno aktivno pogodbo o plačevanju."
"WorldLink Withdrawal","WorldLink dvig "
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Ali bi želeli podpisati pogodbo o plačevanju za poenostavitev nadaljnih nakupov s PayPalom?"
"Wrong PayPal Express Checkout Token specified.","Naveden apačen PayPal Express Checkout žeton."
"Yes","Da"
"Yes. Matched Address and five-didgit ZIP","Da. Ujemajoč naslov in poštna številka "
"You will be redirected to the PayPal website in a few seconds.","V nekaj sekundah boste preusmerjeni na PayPalovo spletno stran."
"You will be redirected to the PayPal website when you place an order.","Ob zaključku naročila boste preusmerjeni na PayPalovo spletno stran."
"You will be redirected to the PayPal website.","Preusmerjeni boste na PayPalovo spletno stran."
"eBay Auction Payment","Plačilo eBay dražbe"
