"# of Use","# uporabe"
"%1$s incl tax.","%1$s z DDV"
"%s - %s","%s - %s"
"%s Item(s)","Izdelkov: %s"
"Cannot create image.","Slike ni mogoče ustvariti."
"Cannot create writeable directory '%s'.","Zapisljivega imenika ni mogoče ustvariti '%s'."
"Cart Item Attribute","Atribut izdelkov v košarici"
"Catalog","Katalog"
"Catalog Category (Anchor)","Kategorija kataloga (zasidrana)"
"Catalog Category (Non-Anchor)","Kategorija kataloga (nezasidrana)"
"Catalog Category (Without Subcategories)","Kategorija kataloga (brez podkategorij)"
"Catalog Category Link","Povezava kataloške kategorije"
"Catalog New Products List","Seznam novih izdelkov kataloga"
"Catalog Price Scope","Področje kataloške cene"
"Catalog Product Compare List","Primerjalni seznam izdelkov kataloga"
"Catalog Product Email to a Friend","Pošlji E-pošto s katalogom izdelkov prijatelju"
"Catalog Product Image Gallery Popup","Pojavno okno galerije slik izdelkov iz kataloga "
"Catalog Product Link","Povezava izdelkov iz kataloga"
"Catalog Product View (Any)","Pogled izdelkov iz kataloga (katerikoli)"
"Catalog Product View (Configurable)","Pogled izdelkov iz kataloga (nastavljiv)"
"Catalog Product View (Grouped)","Pogled izdelkov iz kataloga (v skupinah)"
"Catalog Product View (Simple)","Pogled izdelkov iz kataloga (enostaven)"
"Catalog Product View (Virtual)","Pogled izdelkov iz kataloga (virtualen)"
"Catalog Section","Oddelek kataloga"
"Catalog Seo Popular Search Terms","Priljubljeni SEO iskalni izrazi iz kataloga"
"Catalog Seo Sitemap (Category List)","SEO zemljevid strani kataloga (seznam kategorij)"
"Catalog Seo Sitemap (Category Tree)","SEO zemljevid strani kataloga (drevo kategorij)"
"Catalog Seo Sitemap (Common)","SEO zemljevid strani kataloga (skupni)"
"Catalog Seo Sitemap (Product List)","SEO zemljevid strani kataloga (seznam izdelkov)"
"Catalog URL Rewrites","URL pravila kataloga"
"Catalog product custom option values API","Kataloški produkt s privzeto vrednostjo API"
"Catalog product custom options API","Kataloški produkt s privzeto možnostjo API"
"Catalog, Search","Katalog, iskanje"
"Categories","Kategorije"
"Categories Sitemap","Zemljevid strani kategorij"
"Category","Kategorija"
"Category API","API kategorije"
"Category Data","Podatki kategorije"
"Category Flat Data","Pavšalni podatki kategorije"
"Category Link Block Template","Predloga bloka povezave kategorije"
"Category Link Inline Template","Predloga v vrsti povezave kategorije"
"Category Products","Kategorija izdelkov"
"Category Top Navigation","Zgornja navigacija kategorije"
"Category URL Suffix","URL pripona kategorije"
"Category attributes API","API atributi kategorije"
"Category move error","Napaka premika kategorije"
"Category move operation is not possible: parent category is equal to child category.","Operacija premika kategorije ni mogoča: nadrejena kategorija je enakovredna podrejeni."
"Category move operation is not possible: the current category was not found.","Operacija premika kategorije ni mogoča: trenutno nadrejena kategorija ni bila najdena."
"Category move operation is not possible: the new parent category was not found.","Operacija premika kategorije ni mogoča: nova nadrejena kategorija ni bila najdena."
"Category must be an instance of Mage_Catalog_Model_Category.","Kategorija mora biti v obliki Mage_Catalog_Model_Category."
"Center","Center"
"Change","Spremeni"
"Change or Retrieve attribute store view","Spremeni ali pridobi pogled artibutov trgovine"
"Change status","Spremeni status"
"Check items to add to the cart or","Preglej izdelke za dodajenje košarici ali"
"Choose an Option...","Izberite možnost ..."
"Clear All","Počisti vse"
"Click for price","Klikni za ceno"
"Close Window","Zapri okno"
"Collapse All","Skrči vse"
"Comma-separated.","Ločeno z vejico"
"Comparable","Primerljivo"
"Comparable on Front-end","Primerljivo na uporabnikovi strani"
"Comparable on the Frontend","Primerljivo na uporabnikovi strani"
"Compare","Primerjaj"
"Compare Products","Primerjaj izdelke"
"Conditions Combination","Kombinacija pogojev"
"Configurable Product","Nastavljiv izdelek"
"Configurable Product Settings","Nastavitve nastavljivih izdelkov"
"Configure Product","Konfiguracija produkta"
"Continue","Nadaljuj"
"Copy From Configurable","Kopiraj iz nastavljivih"
"Country/State","Država/zvezna država"
"Create","Ustvari"
"Create (Upload)","Ustvari (naloži)"
"Create Empty","Ustvari prazno"
"Create Permanent Redirect for old URL","Ustvari trajno preusmeritev za stare URLje"
"Create Permanent Redirect for old URLs if Url key changed","Ustvari trajno preusmeritev za stare URLje, če je URL ključ spremenjen"
"Create Product Settings","Ustvari nastavitve izdelka"
"Create Simple Associated Product","Ustvari enostaven povezan izdelek"
"Create attribute set based on another set","Kreiraj nastavitev atributa ki temelji na drugi nastavitvi"
"Create new attribute","Kreiraj nov atribut"
"Create new category","Ustvari novo kategorijo"
"Create new product","Ustvari nov izdelek"
"Cross-sells","Navzkrižne prodaje"
"Currently Shopping by:","Trenutno nakupovanje po:"
"Custom Design","Oblikovanje po meri"
"Custom Options","Možnosti po meri"
"Custom options","Možnosti po meri"
"Customer Group","Skupina strank"
"Customers Reviews","Mnenja strank"
"Customers Tagged Product","Označeni izdelki strank"
"Customers for alert %s were successfuly added to queue","Stranke za opozorilo %s so bile uspešno dodane v čakalno vrsto"
"Data Type for Saving in Database","Tipi podatkov za shranjevanje v podatkovno bazo"
"Date & Time Custom Options","Možnosti po meri za datum in čas"
"Date Fields Order","Polja datuma naročila"
"Date Subscribed","Naročen dne"
"Datetime","Datum"
"Decimal","Decimalno"
"Declare attribute value saving scope","Določi vrednost atributa za področje varčevanja"
"Default ""What's This"" Text Message","Privzeto ""Kaj je to"" tekstovno sporočilo"
"Default Popup Text Message","Privzeto pojavno tekstovno sporočilo"
"Default Price","Privzeta cena"
"Default Price Navigation Step","Koraki navigacije privzete cene"
"Default Qty","Privzeta količina"
"Default Values","Privzete vrednosti"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Določi osnovno področje valute  (""Nastavitev valute"" > ""Možnosti valute"" > ""Osnovna valuta"")."
"Delete","Odstrani"
"Delete Attribute","Odstrani atribut"
"Delete Attribute Set","Odstrani skupino atributa"
"Delete Category","Odstrani kategorijo"
"Delete Option","Odstrani možnost"
"Delete Row","Odstrani vrstico"
"Delete Search","Odstrani iskanje"
"Delete Selected Group","Odstrani izbrano skupino"
"Delete Tier","Zbriši Tier"
"Delete attribute","Zbriši atribut"
"Delete category","Odstrani kategorijo"
"Delete product","Odstrani izdelek"
"Depends on design theme","Odvisno od oblikovalske teme"
"Design","Oblikovanje"
"Details","Podrobnosti"
"Disabled","Onemogočeno"
"Disallowed file type.","Nedovoljeni tipi datotek."
"Display Actual Price","Prikaži dejansko ceno"
"Display in Suggested Terms","Prikaži v predlaganih pogojih"
"Double click on a group to rename it","Dvojno kliknite na skupino za preimenovanje"
"Double click on above image to view full picture","Dvoklik za ogled slike v polni velikosti"
"Duplicate","Podvoji"
"Duplicate website tier price customer group and quantity.","Podvoji spletno nivojsko ceno skupine strank in količino."
"Duplicate website, country and state tax found.","Podvoji spletno stran, državo in davek države"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Npr.{{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dinamično razčlenjevanje poti vpliva na zmogljivnost kataloga."
"Edit","Uredi"
"Edit Attribute Set '%s'","Uredi skupino atributa '%s'"
"Edit Product Attribute","Uredi atribute izdelka"
"Edit Product Attribute ""%s""","Uredi atribute izdelka ""%s"""
"Edit Search","Uredi iskanje"
"Edit Search '%s'","Uredi iskanje '%s'"
"Edit Set Name","Uredi ime skupine"
"Email","E-pošta"
"Email to %s was not sent.","E-pošta za %s ni bila poslana."
"Email to a Friend","Pošlji e-pošto prijatelju"
"Empty","Prazno"
"Enable MAP","Omogoči MAP"
"Enable Qty Increments","Omogoči dodajanje količine"
"Enable WYSIWYG","Omogoči WYSIWYG"
"Enabled","Omogočeno"
"Error during retrieval of option value: %s","Napaka med pridobivanjem vrednosti opcije: %s"
"Exclude","Izloči"
"Expand All","Razširi vse"
"Failed","Neuspešno"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Neuspešno kopiranje datoteke %s. Prosimo, zbrišite medio z neobstoječimi slikami in poskusite ponovno."
"Failed to move file: %s","Prenos datoteke ni bil uspešen: %s"
"Feature Products","Izpostavljeni izdelki"
"Field is not complete","Polje ni popolno"
"File options format is not valid.","Možnosti formata datoteke niso veljavne."
"File upload failed","Prenos datoteke ni bil uspešen."
"Filter model name must be declared.","Ime modela filtra mora biti določeno."
"Filter must be an object. Please set correct filter.","Filter mora bit objekt. Prosimo, nastavite pravilen filter."
"Filterable (no results)","Možno filtrirati ( brez rezultatov )"
"Filterable (with results)","Možno filtrirati ( z rezultati )"
"First Name","Ime"
"Fixed","Fiksen"
"For internal use.","Za interno uporabo."
"Frontend","Uporabniška stran"
"Frontend Model","Model uporabniške strani."
"Frontend Properties","Lastnosti uporabniške strani"
"Gallery","Galerija"
"General Information","Splošne informacije"
"Get full information about attribute with list of options","Pridobite vse informacije o atributih s seznamom različnih možnosti"
"Get full information about custom option in product","Pridobite vse informacije o možnostih po meri za produkt"
"Get list of available custom option types","Pridobite seznam različnih možnih tipov, ki so na voljo"
"Get list of non-default attributes by product type and attributes set","Pridobite seznam neprivzetih atributov glede na tip produkta in nastavitve atributov"
"Get list of possible attribute types","Pridobite seznam možnih tipov atributa"
"Get special price","Kupi po akcijski ceni"
"Global","Globalno"
"Globally Editable","Možno urejati globalno"
"Go to Home Page","Pojdi na domačo stran"
"Grid","Mreža"
"Group add","Dodaj skupino"
"Group remove","Odstrani skupino"
"Grouped Product","Združeni izdelki"
"Groups","Skupine"
"Home","Domov"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Če je prazno, bo uporabljeno ime kategorije"
"If empty, the Product Name will be used","Če je prazno, bo uporabljeno ime izdelka"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Če ne določite možnosti vrednosti za specifično trgovino, bo uporabljena privzeta (administratorjeva) vrednost."
"Image","Slika"
"Image content is not valid base64 data.","Vsebina slike ni veljaven base64data podatek."
"Image does not exist.","Slika ne obstaja."
"Image file was not found.","Datoteka slike ne obstaja."
"Image type and information need to be specified for each store view.","Za vsak pogled trgovine morata biti določena tip in informacija slike."
"In Cart","V košarici"
"In Stock","Na zalogi"
"In stock","Na zalogi"
"Incl. Tax","Z DDV"
"Index product and categories URL rewrites","Indeksiraj izdelke in kategorije URL pravil"
"Index product attributes for layered navigation building","Indeksiraj atribute izdelkov za gradnjo večplastne navigacije"
"Index product prices","Indeksiraj cene izdelkov"
"Indexed category/products association","Indeksirane kategorije/združenih izdelkov"
"Info Column Options Wrapper","Informacije Stolpec Možnosti Obdano"
"Input Type","Tip vnosa"
"Integer","Število"
"Invalid Tier Prices","Neveljavane cene za nivo"
"Invalid attribute %s.","Neveljaven atribut %s."
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Za atribut  %s (%s) je določena neveljavna možnost atributa, zapis ni dokončan."
"Invalid attribute set specified, skipping the record.","Določena je neveljavna skupina atributa, zapis ni dokončan."
"Invalid block: %s.","Neveljaven blok: %s."
"Invalid category IDs.","Neveljaven ID kategorije. "
"Invalid category.","Neveljavna kategorija."
"Invalid image file type.","Neveljaven tip slikovne datoteke."
"Invalid image type.","Neveljaven tip slike."
"Invalid option ID specified for %s (%s), skipping the record.","Določena je neveljavna ID možnosti  %s (%s), zapis ni dokončan."
"Invalid product type specified, skipping the record.","Določen je neveljaven tip izdelka, zapis ni dokončan."
"Invalid store specified","Določena je neveljavna trgovina."
"Invalid store specified, skipping the record.","Določena je neveljavna trgovina, zapis ni dokončan."
"Invalid tier prices. The product is not associated to the requested website.","Neveljavne cene za nivo. Izdelek ni povezan z zahtevano spletno stranjo."
"Invalid transactional email code.","Neveljavna koda transakcijske E-pošte."
"Inventory","Zaloga"
"Is Default","Je privzeto"
"Is Required","Je zahtevano"
"Items %s to %s of %s total","Izdelki %s do %s od skupno %s "
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Izdelki, ki jih ne želite prikazati v katalogu ali rezultatih iskanja morajo imeti stanje 'Onemogočeno' v željeni trgovini."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Izdelki, ki jih ne želite prikazati v katalogu ali rezultatih iskanja morajo imeti stanje 'Onemogočeno' v željeni trgovini."
"Keep your eyes open for our special Back to School items and save A LOT!","Podite pozorni na naše posebne Nazaj v šolo izdelke in prihranite VELIKO!"
"Label","Oznaka"
"Last Name","Priimek"
"Last Notification","Zadnje obvestilo"
"Layered Navigation","Večplastna navigacija"
"Learn More","Izvejte več"
"Line %d, Email: %s","Vrstica %d, E-pošta: %s"
"Line %d, SKU: %s","Vrstica  %d, šifra: %s"
"Link (Related, Up sell, Cross sell)","Povezava  (sorodni, povezani , navzkrižna prodaja)"
"Link product does not exist.","Povezava izdelka ne obstaja."
"Link to a Specified Category","Povezava do določene kategorije"
"Link to a Specified Product","Povezava do določenega izdelka."
"List","Seznam"
"List Mode","Načina seznama"
"List of Products that are set as New","Seznam izdelkov, ki so nastavljeni kot novi"
"Manage Attribute Sets","Urejaj skupino atributa"
"Manage Attributes","Urejaj atribute"
"Manage Catalog Categories","Urejaj kategorije kaktaloga"
"Manage Categories","Urejaj kategorije"
"Manage Label / Options","Urejaj oznake/ možnosti"
"Manage Options (values of your attribute)","Ureja možnosti ( vrednsoti vaših atrbutov)"
"Manage Product Attributes","Urejaja atribute izdelkov"
"Manage Product Sets","Urejaja skupine izdelkov"
"Manage Products","Urejanje izdelkov"
"Manage Stock","Urejaj zalogo"
"Manage Titles (Size, Color, etc.)","Urejaj naslove ( velikost, barvo, ipd. )"
"Max Characters","Največ znakov"
"Maximal Depth","Največja globina"
"Maximum Image Size","Največja velikost slike"
"Maximum Qty Allowed in Shopping Cart","Največja dovoljena količina v nakupovalni košarici"
"Maximum image height","Največja višin slika"
"Maximum image width","Najevečja širina slike"
"Maximum number of characters:","Največje število znakov:"
"Media Image","Slika medija"
"Minimum Lines per Page","Najmanj vrstic na stran"
"Minimum Qty Allowed in Shopping Cart","Najmanjša dovoljena količina v nakupovalni košarici"
"Minimum Qty for Item\'s Status to be Out of Stock","Najmanjša količina za izdelek, da ni na zalogi"
"Missing SKU, skipping the record.","Manjka šifra, zapis ni dokončan"
"More Views","Več pogledov"
"Move","Premakni"
"Move category in tree","Premakni kategorijo v drevesno strukturo"
"Must be in the allowed values list.","Mora biti na seznamu dovoljenih vrednosti."
"N/A","N/A"
"Name","Ime"
"Name in %s","Ime v %s"
"New Product","Nov izdelek"
"New Product Attribute","Nov atribut izdelka"
"New Products","Novi izdelki"
"New Products Grid Template","Predloga mreže novih izdelkov"
"New Products List Template","Predloga seznama novih izdelkov"
"New Root Category","Nova korenska kategorija"
"New Search","Novo iskanje"
"New Set Name","Novo ime skupine"
"New Subcategory","Nova podkategorija"
"Next","Naslednji"
"No","Ne"
"No image","Ni slike"
"No layout updates","Ni posodobitev postavitve"
"No options of this product are available.","Za ta izdelek ni dostopnih možnosti"
"No product collections found.","najdena ni nobena zbiraka izdelkov"
"None","Noben"
"Not Visible Individually","Niso vidni samostojno"
"Notify Low Stock RSS","RSS obvestilo za nizko zalogo"
"Notify for Quantity Below","Obvestilo ua koičino pod"
"Number of Products to Display","Število izdelkov za prikaz"
"Number of Uses","Število uporab"
"Number of results<br/>(For the last time placed)","Število razultatov<br/>(Za nazadnje podano)"
"OR","ALI"
"Old Price:","Stara cena:"
"Option validation failed to add product to cart.","Potrjevanje možnosti ni uspelo dodati izdelka v košarico. "
"Option:","Možnost:"
"Options Control","Nadzor možnosti"
"Options is required","Zahtevane so možnosti"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Naš servis za stranke je dosegljiv 24/7. Pokličite nas na  (031) 574-705."
"Out of Stock","Ni na zalogi"
"Out of stock","Ni na zalogi"
"PM","PM"
"Page Title Separator","Ločevalec naslovov strani"
"Parent Category","Nadrejeni direktorij"
"Pending","Čakajoč"
"Pending Reviews RSS","RSS vir čakajočih mnenj"
"Percentage","Odstotek"
"Please add rows to option.","Prosimo, dodajte vrstice v možnosti."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Prosimo, botide previdni, ko kliknete na vrstico, se bo naložil paket podatkov iz izbrane datoteke in vsi neshranjeni podatki bodo izgubljeni. "
"Please click on the Close Window button if it is not closed automatically.","Prosimo, kliknite na Zapri okno gumb, če se ne zapre samodejno."
"Please enter a new group name","Prosimo, vnesite nov ime skupine."
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Prosimo, osvežite  ""URL pravila kataloga"" in ""Atributi izdelka"" v sistemu -> <a href=""%s"">Urejanje kazala</a>"
"Please select a static block ...","Prosimo, izberite statični blok ..."
"Please select items.","Prosimo, izberite izdelke."
"Please select one or more attributes.","Prosimo, izberite enega ali več atributov."
"Please select product(s).","Prosimo, izberite izdelek/izdelke."
"Please select products for attributes update","Prosimo, izberite izdelke za posodobitev atributov"
"Please specify date required option(s).","Prosimo, določite možnost(i) zahtevanega datuma."
"Please specify the product required option(s)","Prosimo, določite možnost(i) zahtevanega izdelka(ov)."
"Please specify the product required option(s).","Prosimo, določite možnost(i) zahtevanega izdelka(ov)."
"Please specify the product\'s option(s).","Prosimo, določite možnost(i) izdelka(ov)"
"Please specify the product\'s required option(s).","Prosimo, določite možnost(i) zahtevanega izdelka(ov)."
"Please specify the quantity of product(s).","Prosimo, določite količino izdelka(ov)."
"Please specify time required option(s).","Prosimo, določite zahtevane možnosti."
"Position","Položaj"
"Position in Layered Navigation","Položaj v večplastni navigaciji"
"Position of attribute in layered navigation block","Položaj atributa v bloku večplastne navigavije"
"Prev","Prejšnji"
"Previous","Prejšnji"
"Price","Cena"
"Price Navigation Step Calculation","Izračun koraka navigacije cene"
"Price Type","Tip cene"
"Price is not available","Cena ni dostopna"
"Price values for options should be specified in system base currency.","Vrednosti cene za možnosti bi morale biti določene v sistemu osnovne valute."
"Price:","Cena:"
"Price: %s","Cena: %s"
"Print This Page","Natisni to stran"
"Product","Izdelek"
"Product API","Šifra izdelka"
"Product Alerts","Opozorila izdelka"
"Product Attribute","Atribut izdelka"
"Product Attributes","Atributi izdelka"
"Product Categories","Kategorije izdelka"
"Product Description","Opis izdelka"
"Product Extra Info","Dodatne informacije izdelka"
"Product Flat Data","Pavšalni podatki izdelka"
"Product Image Placeholders","Osnovne slike izdelka"
"Product Image Watermarks","Vodni žigi slike izdelka"
"Product Images","Slike izdelka"
"Product Images API","API slike izdelka"
"Product In Websites","Izdelki na spletni strani"
"Product Info Column","Informacijski stoplec izdelka"
"Product Information","Podatki o izdelku"
"Product Link Block Template","Predloga povezave izdelka v bloku"
"Product Link Inline Template","Predloga povezave izdelka v vrstici"
"Product Listing Sort by","Seznam izdelkov razvrščen po"
"Product Name","Ime izdelka"
"Product Prices","Cene izdelka"
"Product Reviews","Menja o izdelku"
"Product Tags","Značke izdelka"
"Product Tier Price API","API cena za nivo izdelka "
"Product Type","Tip izdelka"
"Product URL Suffix","URL pripona izdelka"
"Product View Extra Hint","Poseben namig za pogled na izdelek"
"Product attribute sets API","API skupina atributa izdelka"
"Product attributes API","API atributa izdelka"
"Product collection expected.","Pričakovana je zbirka izdelka"
"Product links API (related, cross sells, up sells)","API povezave izdelka (sorodni, povezani, navzkrižna prodaja )"
"Product types API","API tip izdelka"
"Product with this combination of attributes already associated to configurable.","Izdelke s to kombinacijo atributov je že povezan na nastavljivo."
"Products","Izdelki"
"Products Comparison List","Primerjali seznam izdelkov"
"Products Information","Podatki o izdelkih"
"Products Reviews","Mnenja o izdelkih"
"Products Sitemap","Zemljevi strani izdelkov"
"Products only","Samo izdelki"
"Products per Page on Grid Allowed Values","Izdelkov na stran na dovoljenih vrednostih mreže"
"Products per Page on Grid Default Value","Izdelkov na stran na privzetih vrednostih mreže"
"Products per Page on List Allowed Values","Izdelkov na stran na dovoljenih vrednostih seznama "
"Products per Page on List Default Value","Izdelkov na stran na privzetih vrednostih seznama"
"Properties","Lastnosti uporabniške strani"
"Qty","Količina"
"Qty Increments","Prirastki količine"
"Qty Uses Decimals","Pri količinah uporabljajo decimalke"
"Qty for Item\'s Status to become Out of Stock","Količina za katero izdelek ni več na zalogi"
"Qty:","Količina:"
"Quantity","Količina"
"Quick Create","Hitro ustvarjanje"
"Quick Overview","Hiter pregled"
