"%s %s cycle.","%s %s cikel."
"--Please Select--","--Prosimo izberite--"
"Full name of the person receiving the product or service paid for by the recurring payment.","Polno ime osebe, ki bo prejela izdelek ali storitev plačano s ponavljajočimi plačili."
"Initial Fee","Vstopna provizija"
"Initial non-recurring payment amount due immediately upon profile creation.","Začetna neponavljajoča plačila dolgovanega zneska takoj po ustvarjanju profila."
"Internal Reference ID","Notranja referenčna ID."
"Issue Number","Številka izdaje"
"Make Check Payable to","Izstavite ček na ime"
"Make Check payable to:","Izstavite ček na ime:"
"Make Check payable to: %s","Izstavite ček na ime:: %s"
"Maximum Billing Cycles","Najdaljši obračunski cikel"
"Maximum Order Total","Najvišji znesek naročila"
"Maximum Payment Failures","Najvišji znesek neplačanih računov"
"Maximum Trial Billing Cycles","Najdaljši preizkusni obračunski cikel"
"Merchant Id","Id trgovca"
"Minimum Order Total","Najmanjši dovoljeni znesek naročila"
"Month","Mesec"
"N/A","N/A"
"Name on Card","Ime na kartici"
"Name on the Card","Ime na kartici"
"Name on the Card: %s","Ime na kartici: %s"
"New Order Status","Stanje novega naročila"
"Number of billing periods that make up one billing cycle.","Število obračunskih obdobij, ki tvorijo en obračunski cikel"
"Overrides API URL that may be specified by a payment method.","Prepiši API URL, ki je lahko določen z načinom plačila. "
"Password","Geslo"
"Payment ID: %s","ID plačila: %s"
"Payment Method","Način plačila"
"Payment Methods","Načini plačila"
"Payment Methods Section","Oddelek z načini plačila"
"Payment Reference ID","Refererenčna ID plačila"
"Payment Services","Plačilni servis"
"Payment from Applicable Countries","Plačila iz dovoljenih držav"
"Payment from Specific Countries","Plačila iz določenih držav"
"Payment method code is not set.","Koda načina plačila ni nastavljena."
"Payment method code is undefined.","Koda načina plačila ni določena."
"Payment profile is invalid:\n%s","Plačilni profil ni veljaven:\n%s"
"Period frequency is wrong.","Frekvenca obdobja je napačna."
"Processor Id"," Id procesorja"
"Purchase Order","Naročilo"
"Purchase Order Number","Številka naročila"
"Purchase Order Number:","Številka naročila:"
"Purchase Order Number: %s","Številka naročila: %s"
"Recurring Profile Start Date","Začetni datum ponavljajočega profila"
"Recurring profile start date has invalid format.","Začetni datum ponavljajočega profila ima neveljaven format."
"Reference ID is not set.","Referenčni ID ni nastavljen."
"Repeats %s time(s).","Se ponovi %s krat."
"Repeats until suspended or canceled.","Se ponavlja do prekinitve ali razveljavitve."
"Request Card Security Code","Zahteva po varnostni kodi kartice"
"Saved CC","Shranjen CC"
"Schedule Description","Opis urnika"
"Schedule description must be not empty.","Opis urnika ne sme biti prazen."
"Send Check to","Pošljite ček na"
"Send Check to:","Pošljite ček na:"
"Severe 3D Secure Card Validation","Strogo 3D Secure Card preverjanje"
"Severe validation removes chargeback liability on merchant.","Stroga potrditev odstrani povračilo za odgovornost pri trgovcu"
"Shipping Amount","Znesek dostave"
"Short description of the recurring payment. By default equals to the product name.","Kratek opis ponavljajočih plačil. Privzeto je enako kot ime izdelka."
"Sort Order","Vrstni red "
"Start Date","Začetni datum"
"Start date has invalid format.","Začetni datum ima neveljaven format."
"Start date is undefined.","Začetni datum ni določen"
"Subscriber Name","Ime naročnika"
"Switch/Solo/Maestro Issue Number","Switch/Solo/Maestro številka izdaje"
"Switch/Solo/Maestro Only","Samo Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Switch/Solo/Maestro začetni datum"
"Tax Amount","Znesek DDV"
"Test Mode","Testni način"
"The date when billing for the profile begins.","Datum, ko se začne obračun za profil."
"The number of billing cycles for payment period.","Število obračunskih ciklov za plačilno obdobje."
"The number of scheduled payments that can fail before the profile is automatically suspended.","Dovoljeno število zapadlih plačil, preden se profil avtomatično ukine."
"The payment review action is unavailable.","Aktivnost pregleda plačil ni na voljo."
"Title","Naslov"
"Trial Billing Amount","Znesek preizkusnega obračuna"
"Trial Billing Frequency","Frekvenca preizkusnega obračuna"
"Trial Billing Period Unit","Enota obdobja preizkusnega obračuna"
"Trial Period","Preizkusno obdobje"
"Trial billing amount is wrong.","Znesek preizkusnega obračuna je napačen."
"Trial billing period unit is wrong.","Enota obdobja preizkusnega obračuna je napačna."
"Trial period frequency is wrong.","Frekvenca preizkusnega obdobja je napačna."
"Trial period max cycles is wrong.","Največje število obdobij preizkusnega cikla je napačno."
"Two Weeks","Dva tedna"
"Unable to save Billing Agreement:","Pogodbe o plačevanju ne morem shraniti."
"Unit for billing during the subscription period.","Enota za obračun med naročniškim obdobjem."
"Unsupported currency code: %s.","Nepodprta koda valute: %s."
"Week","Teden"
"What is this?","Kaj je to?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Plačilni profil naj se ukine ali doda v izredni saldo, če se plačilo vstopne provizije ne izvede."
"Wrong %s specified.","določen napačen %s ."
"Wrong or empty billing amount specified.","Določen napačen ali prazen znesek obračuna."
"Year","Leto"
"Zero Subtotal Checkout","Zaključek naročila ob vmesni vrednosti seštevka je nič."
