"%s","%s"
"%s already exist.","%s že obstaja."
"%s already exists.","%s je že obstajala."
"-- Please Select --","-- Prosimo izberite --"
"Custom Variables","Spremenljivke po meri"
"Customer Support","Podpora strank"
"Dashboard","Nadzorna plošča"
"Date From","Od datuma"
"Date To","Do datuma"
"Date/time format ""%s"" is not supported."," Format datuma/časa ""%s"" ni podprta."
"Debug","Razhroščevanje"
"Default","Privzeto"
"Default Country","Privzeta država"
"Default Description","Privzeti opis"
"Default Keywords","Privzete ključne besede"
"Default No-route URL","Privzet URL brez poti"
"Default Pages","Privzete strani"
"Default Robots","Privzeti roboti"
"Default Store","Privzeta trgovina"
"Default Store View","Privzet pogled na trgovino"
"Default Title","Privzet naslov"
"Default Web URL","Privzet URL spletne strani"
"Delete","Odstrani"
"Delete Store","Odstani trgovino"
"Delete Store View","Odstrani pogled na trgovino"
"Delete Website","Odstrani speltno stran"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Odstranitev %1$s ne bo odstranilo podatka, povezanega z %1$s (npr. kategorije, izdelki, itd.), pač pa %1$s ne bo možno obnoviti.  Priporočeno je, da ustvarite varnostno kopijo podatkovne baze pred odstranjevanjem %1$."
"Design","Oblikovanje"
"Design Change","Sprememba obikovanja"
"Developer","Razvijalec"
"Developer Client Restrictions","Omejitve razivjalec- stranka"
"Disable Email Communications","Onemogoči E-pošto komunikacije"
"Disable Modules Output","Onemogoči  izhodne module"
"Display Demo Store Notice","Prikaži obestilo o preizkusni trgovini"
"Duplicate Of Template Name","Podvoji ime predloge"
"Edit Design Change","Uredi spremembe oblikovanja"
"Edit Store","Uredi strgovino"
"Edit Store View","Uredi pogled na trgovino"
"Edit Website","Uredi spletno stran"
"Empty identifier field name","Izprazni identifikator imena polja"
"Empty main table name","Izprazni ime glavne tabele"
"Enable Charts","Omogiči košarice"
"Enable Prototype Deprecation Log","Omogoči dnevnik zastarelih funkcij  Prototype"
"Enabled","Omogočeno"
"Enabled for Admin","Omogočeno za administratorja"
"Enabled for Frontend","Omogočeno za uporabnikovo stran"
"Error in file: ""%s"" - %s","Napaka v datoteki: ""%s"" - %s"
"Error: Passwords do not match","Napaka: Geslo se ne ujema"
"Exceptions Log File Name","Ime datoteke dnevnika izjem"
"Favicon Icon","Ikona zaznamke"
"First Day of Week","Prvi dan tedna"
"Flush Cache Storage","Sprazni shrambo predpomnilnika"
"Flush Magento Cache","Sprazni Magento predpomnilnik"
"Footer","Noga"
"Forgot Password Email Sender","Pošiljatelj E-pošte pozablenega gesla"
"Forgot Password Email Template","Predloga E-pošte pozabljenega gesla"
"General","Splošno"
"General Contact","Splošni kontakti"
"General Settings","Splošne nastavitve"
"Global","Globalno"
"HTML Head","HTML glava"
"Header","Glava"
"Host","Gostitelj"
"How many links to display at once.","Koliko povezav prikažem hkrati."
"ID Path for Specified Store","ID poti za določeno trgovino"
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","Če trenutna pozicija okvirja ne pokrije skrajne strani, bo izrisalo povezavo na trenutno lokacijo, plus/minus za to vrednost."
"Incorrect credit card expiration date.","Nepravilen datum veljavnosti kreditne kartice."
"Invalid base url type","Neveljaven tip osnovnega URL"
"Invalid block name to set child %s: %s","Neveljavno ime bloka za podrejeno nastavitev %s: %s"
"Invalid block type: %s","Neveljaven tip bloka: %s"
"Invalid block: %s","Neveljaven blok: %s"
"Invalid layout update handle","Neveljaven vodnik posodobitve postavitve"
"Invalid messages storage ""%s"" for layout messages initialization","Shramba neveljavnih sporočil ""%s"" za inicializacijo sporočil o postavitvi"
"Invalid transactional email code: ","Neveljavna koda transakcijske E-pošte"
"Invalid website\'s configuration path: %s","Neveljavna pot konfiguracije spletne strani: %s"
"JavaScript Settings","JavaScript nastavitve"
"Layout","Postavitev"
"Leave empty for access from any location.","Pusti prazno za dostop s katerekoli lokacije."
"Locale","Jezik"
"Locale Options","Jezikovne možnosti"
"Log Settings","Nastavitve dnevnika"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Dnevnik iz Mage::log(). Datoteka se nahaja v {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Dnevnik iz Mage::logException(). Datoteka se nahaja v {{base_dir}}/var/log"
"Login is Case Sensitive","Pri prijavi se razlikuje velike in male črke"
"Logo Image Alt","Alternativno besedilo za logotip"
"Logo Image Src","Vir slike za logotip"
"Mail Sending Settings","Nastavitve pošiljanja pošte"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Zagotovite, da se osnovni URL konča z '/' (slash), npr. http://vasadomena/magento/"
"Manage Stores","Urejaj trgovine"
"Match expressions in the same order as displayed in the configuration.","Primerjaj izraze v enakem vrstnem redu kot so prikazani v konfiguraciji. "
"Maximum length exceeded.","Največja dolžina presežena"
"Merge CSS Files (beta)","Združi CSS datoteke ( beta )"
"Merge JavaScript Files","Združi JavaScript datoteke"
"Miscellaneous HTML","Razni HTML"
"Miscellaneous Scripts","Razne skripte"
"Model class does not exist: %s.","Razred modela ne obstaja: %s."
"Model collection resource name is not defined.","Ime vira zbirke modela ni določen."
"Module ""%1$s"" cannot depend on ""%2$s"".","Modul ""%1$s"" ne more biti odvisen ""%2$s""."
"Module ""%1$s"" requires module ""%2$s"".","Modul ""%1$s"" zahteva modul ""%2$s""."
"Name","Ime"
"New Design Change","Nove spremembe oblikovanja"
"New Store","Nova trgovina"
"New Store View","Nov pogled na trgovino"
"New Website","Nova spletna stran"
"No","Ne"
"Package","Paket"
"Pagination","Označevanje strani"
"Pagination Frame","Okvir označevanja"
"Pagination Frame Skip","Preskoči okvir označevanja"
"Please choose to register or to checkout as a guest","Prosimo, izberite registracijo ali zaključek nakupa kot gost"
"Please define flag code.","Prosimo, določite kodo zastavic"
"Please enter 6 or more characters.","Prosimo, vnesite 6 ali več znakov."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Prosimo, vnesite 6 ali več znakov. Presledki pred ali za znaki bodo prezrti."
"Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.","Prosimo, vnesite 7 ali več znakov. Geslo bi moralo vsebovati tako števne kot abecedne znake."
"Please enter a number 0 or greater in this field.","Prosimo, vnesite število 0 ali večje v to polje"
"Please enter a number greater than 0 in this field.","Prosimo, vnesite število večje kot 0 v to polje"
"Please enter a number lower than 100.","Prosimo, vnesite število nizžje kot 100."
"Please enter a valid $ amount. For example $100.00.","Prosimo, vnesite veljaven znesek v $. Na primer 100$."
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","Prosimo, vnesite veljaven URL ključ. Na primer ""primer-strani"", ""primer-strani.html"" ali ""drugnivo/primer-strani""."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Prosimo, vnesite veljaven URL. Na primer http://www.primer.com or www.primer.com"
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Prosimo, vnesite veljaven URL. Zahtevan je protokol (http://, https:// ali ftp://)"
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","Prosimo, vnesite veljaven XML identifikator. Na primer karneki_1, blok5, id-4."
"Please enter a valid credit card number.","Prosimo, vnesite veljavno številko kreditne kartice"
"Please enter a valid credit card verification number.","Prosimo, vnesite veljavno potrditveno številko kreditne kartice"
"Please enter a valid date.","Prosimo, vnesite veljaven datum."
"Please enter a valid email address. For example johndoe@domain.com.","Prosimo, vnesite veljaven e- poštni naslov. Na primer  jane.novak@domena.com."
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","Prosimo, vnesite veljavno številko faksa.  Na primer (01) 456-7890 ali 01-456-7890."
"Please enter a valid number in this field.","Prosimo, vnesite veljavno številko v to polje."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Prosimo, vnesite veljavno telefonsko številko. Na primer (01) 456-7890 ali 01-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Prosimo, vnesite veljavno matično številko. Na primer 1311964500044"
"Please enter a valid zip code.","Prosimo, vnesite veljavno poštno številko."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Prosimo, vnesite veljavno poštno številko. Na primer 4000"
"Please enter issue number or start date for switch/solo card type.","Prosimo, vnesite številko izdaje ali začetni datum za switch/solo tip kartice."
"Please enter valid password.","Prosimo, vnesite veljavno geslo"
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","Prosimo, vnesite veljavno CSS-dolžino. Na primer 100px ali 77pt ali 20em ali .5ex ali 50%."
"Please make sure your passwords match.","Prosimo, prepričajte se, da se gesli ujemata."
"Please select State/Province.","Prosimo, izberite zvezno državo/ provinco"
"Please select an option.","Prosimo, izberite možnost."
"Please select one of the above options.","Prosimo, izberite eno od gornjih možnosti."
"Please select one of the options.","Prosimo, izberite eno od možnosti."
"Please specify either a category or a product, or both.","Prosimo, določite kategorijo, izdelek ali oboje."
"Please specify payment method.","Prosimo, določite način plačila."
"Please specify shipping method.","Prosimo, določite način dostave."
"Please use letters only (a-z or A-Z) in this field.","Prosimo, uporabite le črke ( a-z ali A-Z) v tem polju."
"Please use letters only (a-z) in this field.","Prosimo, uporabite le črke ( a-z ) v tem polju."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Prosimo, uporabite le števila v tem polju. Prosimo, izognite se presledkom in drugim znakom, kot so pike in vejice."
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Prosimo, uporabite le črke (a-z ali A-Z) ali števila (0-9) v tem polju. Presledki ali drugi znaki niso dovoljeni. "
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","Prosimo, uporabite le črke (a-z ali A-Z), števila (0-9) ali presledke in znak # v tem polju."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in this field, first character must be a letter.","Prosimo, uporabite le črke (a-z ali A-Z), števila (0-9) ali podčrtaje (_) v tem polju, prvi znak mora biti črka."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Prosimo, uporabite le črke (a-z) ali števila (0-9) v tem polju. Presledki ali drugi znaki niso dovoljeni. "
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Prosimo, uporabite le črke (a-z ), števila (0-9) ali presledke in znak # v tem polju."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Prosimo, uporabite le črke (a-z ), števila (0-9) ali podčrtaje (_) v tem polju, prvi znak mora biti črka."
"Please use only visible characters and spaces.","Prosimo, uporabite le vidne znake in presledke."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Prosimo, uporabite ta datumski format: dd/mm/yyyy. Na primer 17/03/2006 za 17. marec 2006."
"Please wait, loading...","Prosimo, počakajte, nalagam ..."
"Polls","Ankete"
"Port (25)","Port (25)"
"Profiler","Profiler"
"Request Path for Specified Store","Zahtevaj pot za določeno trgovino"
"Requested invalid store ""%s""","Zahtevana je neveljavna trgovina ""%s"""
"Resource is not set.","Vir ni nastavljen."
"Return-Path Email","E-pošta povratne poti"
"Root Category","Korenska kategorija"
"Sales Representative","Prodajni predstavnik"
"Save","Shrani"
"Save Store","Shrani trgovino"
"Save Store View","Shrani pogled na trgovino"
"Save Website","Shrani spletno stran"
"Search Engines Optimization","Optimizacija iskalnikov"
"Secure","Varno"
"Security","Varnost"
"Select Date","Izberi datum"
"Sender Email","E-pošta pošiljatelja"
"Sender Name","Ime pošiljatelja"
"Services","Storitve"
"Session Cookie Management","Urejevalnik piškotkov seje"
"Session Lifetime (seconds)","Dolžina seje ( sekund )"
"Session Validation Settings","Nastavitve potrjevanja seje"
"Set Return-Path","Nastavi povratno pot"
"Set as Default","Nastavi kot privzeto"
"Skin (Images / CSS)","Preobleka (slike / CSS)"
"Sort Order","Vrstni red"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Naveden datum/čas ""%1$s"" se ne ujema s formatom ""%2$s""."
"Start date cannot be greater than end date.","Začetni čas ne more biti novejški kot datum zaključka."
"Startup Page","Začetna stran"
"Status","Stanje"
"Store","Trgovina"
"Store Contact Address","Kontakni naslov trgovine"
"Store Contact Information","Kontakni podatki trgovine"
"Store Contact Telephone","Telefonski kontakt trgovine"
"Store Email Addresses","E-poštni naslov trgovine"
"Store Information","Podatki o trgovini"
"Store Name","Ime trgovine"
"Store View","Pogled na trgovino"
"Store View Information","Podatki pogleda na trgovino"
"Store View Name","Ime pogleda na trgovino"
"Store view doesn't exist","Pogled na trgovino ne obstaja."
"Store with the same code","Trgovina z enako kodo"
"System","Sistem"
"System Log File Name","Ime datoteke sistemskega dnevnika"
"Template Path Hints","Namigi poti predloge"
"Template Variables","Spremenjlivke predloge"
"Templates","Predloge"
"Text length does not satisfy specified text range.","Dolžina besedila ne zadostuje zahtevanemu obsegu besedila. "
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format."," %s, ki ste ga vnesli je neveljaven. Prosimo, prepričajte se, da mu sledi ""http://domena.com/"" format."
"The model collection resource name is not defined.","Vir zbirke modela ni definiran."
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Koda trgovine lahko vsebuje le črke (a-z), števila (0-9) ali podčrtaj(_), prvi znak mora biti črka."
"The store does not exist","Trgovina ne obstaja."
"The store has been deleted.","Trgovna je odstranjena."
"The store has been saved.","Trgovina je shranjena."
"The store view has been deleted.","Pogled na trgovino je odstranjen."
"The store view has been saved","Pogled na trgovino je shranjen."
"The template Name must not be empty.","Ime predloge ne sme biti prazno."
"The value is not within the specified range.","Vrednost ni v določenem obsegu."
"The website does not exist.","Spletna stran ne obstaja."
"The website has been deleted.","spletna stran je odstranjena."
"The website has been saved.","Spletna stran je shranjena."
"Themes","Teme"
"This category and all its child elements","Ta kategorija in vsi njej podrejeni elementi"
"This category and its child categories only","Samo ta kategorija in vsi njej podrejeni elementi"
"This category and its products only","Samo ta kategorija in njeni izdelki"
"This category only","Samo ta kategorija"
"This date is a required value.","Ta datum je zahtevan."
"This is a required field.","To je zahtevano polje."
"This store cannot be deleted.","Te trgovine ni mogoče odstraniti."
"This store view cannot be deleted.","Tega pogleda na trgovino ni mogoče odstraniti."
"This website cannot be deleted.","Te spletne strani ni mogoče odstaniti."
"This will be displayed just before body closing tag.","To bo prikazano tik pred zaključno body značko."
"This will be included before head closing tag in page HTML.","To bo vključeno pred značko zapiranja glave na HTML strani."
"Timezone","Časovni pas"
"Title Prefix","Predpona naslova"
"Title Suffix","Pripona naslova"
"Translate Inline","Prevedi v vrstici"
"Translate cache should be disabled for both frontend and admin inline translations.","Predpomnilnik prevodov bi moral biti onemogočen za prevajanje v vrsti tako uporabniških strani kot nadzorne plošče."
"Translations","Prevodi"
"Two and more slashes together are not permitted in request path","Dve in več poševnic skupaj ni dovoljeno v poti zahteve"
"Two and more slashes together are not permitted in url rewrite suffix","Dve in več poševnic skupaj ni dovoljeno v URL priponi pravila"
"Unable to delete store view. Please, try again later.","Pogleda na trgovino ni mogoče odstaniti. Prosimo, poskusite znova kasneje."
"Unable to delete store. Please, try again later.","Trgovine ni mogoče odstaniti. Prosimo, poskusite znova kasneje."
"Unable to delete website. Please, try again later.","Spletne strani ni mogoče odstaniti. Prosimo, poskusite znova kasneje."
"Unable to proceed. Please, try again","Ne morem nadaljevati. Prosimo, poskusite znova"
"Unable to proceed. Please, try again.","Ne morem nadaljevati. Prosimo, poskusite znova."
"Unknown scope ""%s"".","Neznano področje ""%s""."
"Unsecure","Nevarno"
"Url Options","Možnosti URL"
"Use Custom Admin URL","Uporabi URL administratorja po meri"
"Use HTTP Only","Uporabi le HTTP"
"Use SID on Frontend","Uporabi SID na uporabnikovi strani"
"Use Secure URLs in Admin","Uporabi varne URLje v administratorju"
"Use Secure URLs in Frontend","Uporabi varne URLje na uporabnikovi strani"
"Use Web Server Rewrites","Uporabi URL pravilo spletnega strežnika"
"Validate HTTP_USER_AGENT","Potrdi HTTP_USER_AGENT"
"Validate HTTP_VIA","Potrdi HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Potrdi HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Potrdi REMOTE_ADDR"
"Validation has failed.","Potrditev ni uspela."
"Values less than 60 are ignored. Note that changes will apply after logout.","Vrednosti, manjše kot 60 se ne upoštevajo. Upoštevajte, da bodo spremembe začele veljati po odjavi."
"Variable Code must be unique.","Koda spremenjljivke mora biti edinstvena."
"Web","Splet"
"Website","Spletna stran"
"Website Information","Podatki spletne strani"
"Website Name","Ime spletne strani"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Koda spletne strani lahko vsebuje le črke (a-z), števila (0-9) ali podčrtaj(_), prvi znak mora biti črka."
"Website with the same code","Spletna stran z enako kodo."
"Weekend Days","Vikend dnevi"
"Welcome Text","Besedilo dobrodošlice"
"Wrong number of arguments for %s","Napačna številka argumentov za %s"
"Yes","Da"
"Your design change for the specified store intersects with another one, please specify another date range.","Vaše spremembe oblikovanja za določeno trgovino se križajo z drugo. Prosimo, navedite drug obseg podatkov."
"Your order cannot be completed at this time as there is no payment methods available for it.","Vaše naročilo trenutno ne more biti zaključeno, ker zanj ni navedenega nobenega načina plačila. "
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Vaše naročilo trenutno ne more biti zaključeno, ker zanj ni navedenega nobenega načina dostave. Prosimo, naredite potrebne spremembe v vašem naslovu dostave."
"Your session has been expired, you will be relogged in now.","Vaša seja je potekla. Takoj boste ponovno prijavljeni."
