"%s was added to your shopping cart.","Izdelek %s je dodan vaši nakupovalni košarici"
"%s was updated in your shopping cart.","%s je bil posodobljen v vaši nakupovalni košarici."
"* Required Fields","* Obvezna polja"
"Multishipping Checkout Success","Naročilo z dostavo na več naslovov je bilo uspešno zaključeno"
"My Cart","Moja košarica"
"My Cart (%s item)","Moja košarica (%s izdelek)"
"My Cart (%s items)","Moja košarica (%s izdelkov)"
"My Cart Link","Povezava na mojo košarico"
"New Address","Nov naslov"
"New Condition","Nov pogoj"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","SKUPNI SEŠTEVEK BO PRIKAZAN PREDNO POTRDITE NAROČILO"
"One Page Checkout","Zaključek nakupa na eni strani"
"One Page Checkout Failure","Neuspeh zaključka nakupa na eni strani"
"One Page Checkout Overview","Pregled zaključka nakupa na eni strani"
"One Page Checkout Success","Uspeh zaključka nakupa na eni strani"
"One item of products do not have identifier or sku","Eden od izdelkov nima identifikatorja ali SKU"
"One item of products is not belong any of quote item","Eden od izdelkov ne pripada nobenemu naštetemu"
"Order #","Naročilo #"
"Order Review","Pregled naročila"
"Order Success","Uspeh naročila"
"Order place error.","Napaka ob oddaji naročila."
"Other Items in Your Order","Drugi izdelki v vašem naročilu"
"Overview Items After","Pregled izdelkov po"
"Password","Geslo"
"Payment Failed Email Reciever","Prejemnik E-pošte o neuspelem plačilu"
"Payment Failed Email Sender","Pošiljatelj E-pošte o neuspelem plačilu"
"Payment Failed Emails","E-pošta o neuspelih plačilih"
"Payment Failed Template","Predloga za neuspelo plačilo"
"Payment Information","Podatki o plačilu"
"Payment Method","Način plačila"
"Payment Methods After Checkout Button","Načini plačila po gumbu za zaključek plačila"
"Payment Methods Before Checkout Button","Načini plačila pred gumbom za zaključek plačila"
"Payment method information","Podatki o načinu plačila"
"Payment method is not defined","Način plačila ni določen"
"Payment methods in shopping cart","Payment methods in shopping cart"
"Payment profile # %s: ""%s"".","Plačilni profil # %s: ""%s""."
"Place Order","Oddajte naročilo"
"Please agree to all Terms and Conditions before placing the order.","Pred oddajo naročila se morate strinjati z vsemi pogoji in pravili."
"Please agree to all Terms and Conditions before placing the orders.","Pred oddajo naročila se morate strinjati z vsemi pogoji in pravili."
"Please agree to all the terms and conditions before placing the order.","Pred oddajo naročila se morate strinjati z vsemi pogoji in pravili."
"Please log in below:","Prosimo, prijavite se spodaj:"
"Please select region, state or province","Prosimo, izberite regijo, zvezno državo ali provinco"
"Please select shipping address for applicable items","Prosimo, izberite naslov za dostavo za izdelke, ki so na voljo"
"Please select shipping methods for all addresses","Prosimo, izberite način dostave za vse naslove"
"Price","Cena"
"Proceed to Checkout","Nadaljujte na zaključek nakupa"
"Product","Izdelek"
"Product Name","Ime izdelka"
"Products","Produkti"
"Qty","Količina"
"Qty:","Količina:"
"Quantity was recalculated from %d to %d","Količina je ponovno preračunana od %d do %d"
"Quote Lifetime (days)","Veljavnost predračuna (dni)"
"Quote item does not exist.","Naveden element ne obstaja."
"Quote item is not found.","Ne najdem navedenega elementa."
"Recently added item(s)","Nedavno dodani izdelki"
"Register","Registiraj se"
"Register and save time!","Registriraj se in prihrani čas!"
"Register to Create an Account","Če želite ustvariti račun, se morate registrirati."
"Register with us for future convenience:","Prednosti, ki jih registracija prinese v prihodnosti:"
"Remove Item","Odstrani izdelek"
"Remove This Item","Odstrani izdelek"
"Remove coupon code from shopping cart","Odstrani kodo za popust iz nakupovalne košarice"
"Remove item","Odstrani izdelek"
"Remove product from shopping cart","Odstrani produkt iz nakupovalne košarice"
"Remove product(s) from shopping cart","Odstrani produkt(e) iz nakupovalne košarice"
"Retrieve information about shopping cart","Naloži podatke o nakupovalni košarici"
"Review Order","Preglej naročilo"
"Review Order - %s","Preglej naročilo- %s"
"Sales","Prodaja"
"Save Condition","Shrani pogoj"
"Save in address book","Shrani v imenik"
"See price before order confirmation.","Predogled cene pred potrditvijo naročila."
"Select Address","Izberi naslov"
"Select Addresses","Izberi naslove"
"Select Shipping Method","Izberi način dostave"
"Select State/Province...","Izberi zvezno državo/ provinco"
"Select a billing address from your address book or enter a new address.","Izberi naslov za plačevanje iz imenika ali vnesi nov naslov."
"Select a shipping address from your address book or enter a new address.","Izberi naslov za dostavo iz imenika ali vnesi nov naslov."
"Send Payment Failed Email Copy Method","Način pošiljanja kopije E-pošte o neuspelem plačilu"
"Send Payment Failed Email Copy To","Pošlji kopijo E-pošte o neuspelem plačilu na"
"Send To","Pošlji na"
"Separate by "","".","Loči z "",""."
"Set customer for shopping cart","Nastavi kupca za nakupovalno košarico"
"Set customer's addresses in shopping cart","Nastavi strankin naslov v nakupovalni košarici"
"Set payment method","Nastavi način plačila"
"Set shipping method","Nastavi način plačila"
"Ship to Multiple Addresses","Pošlji na več naslovov"
"Ship to different address","Pošlji na različne naslove"
"Ship to this address","Pošlji na ta naslov"
"Shipping Address","Naslov za dostavo"
"Shipping Information","Podatki o dostavi"
"Shipping Method","Način dostave"
"Shipping Methods","Načini dostave"
"Shipping To","Dostava do"
"Shipping method has not been selected yet","Način dostave še ni bil izbran"
"Shipping selection is not applicable.","Izbor dostave ni možno uporabiti"
"Shopping Cart","Nakupovalna košarica"
"Shopping Cart Form Before","Prejšnji obrazec nakupovalne košarice"
"Shopping Cart Sidebar","Stranska orodna vrstica nakupovalne košarice"
"Shopping Cart Sidebar Extra Actions","Posebne aktivnosti stranske orodne vrstice nakupovalne košarice"
"Shopping Cart is Empty","Nakupovalna košarica je prazna"
"Show Content as","Pokaži vebino kot"
"Some of the requested products are not available in the desired quantity.","Nekaj zahtevanih izdelkov ni na voljo v željenih količinah."
"Some of the requested products are unavailable.","Nekaj zahtevanih izdelkov ni na voljo."
"Some products quantities were recalculated because of quantity increment mismatch","Nekatere količine izdelkov so bile ponovno preračunane zaradi neusklajenosti pri prirastku količine"
"Sorry, no quotes are available for this order at this time.","Žal nam je, predračun za to naročilo trenutno ni na voljo."
"State/Province","Zvezna država/provinca"
"Status","Stanje"
"Store View","Pogled trgovine"
"Street Address","Naslov"
"Street Address %s","Ulica %s"
"Submitting order information...","Posredujem podatke o naročilu ..."
"Subtotal","Vmesni seštevek"
"Telephone","Telefonska številka"
"Terms and Conditions","Pogoji in pravila"
"Terms and Conditions Information","Podatki o pogojih in pravilih"
"Terms and conditions","Pogoji in pravila"
"Text","Besedilo"
"Thank you for your purchase!","Hvala vam za nakup!"
"The condition has been deleted","Pogoji so bili odstranjeni"
"The condition has been saved.","Pogoji so bili shranjeni."
"The onepage checkout is disabled.","Zaključek nakupa na eni strani je onemogočen."
"The product could not be found.","Izdelka ni mogoče najti."
"The product does not exist.","Izdelek ne obstaja."
"There are <a href=""%s"">%s items</a> in your cart.","Imate <a href=""%s"">%s izdelkov</a> v svoji košarici."
"There is <a href=""%s"">1 item</a> in your cart.","Imate <a href=""%s"">1 izdelek</a> v svoji košarici."
"There was an error processing your order. Please contact us or try again later.","Pri obdelavi vašega naročila je prišlo do napake. Prosimo, kontaktirajte nas ali poskusite ponovno kasneje."
"This condition no longer exists.","Ta pogoj ne velja več."
"Total","Skupaj"
"Total for this address","Skupaj za ta naslov"
"Unable to set Payment Method.","Način plačila ni možno nastaviti"
"Unit Price","Cena na enoto"
"Update Qty &amp; Addresses","Posodobi količino &amp; Naslovi"
"Update Shopping Cart","Posodobi nakupovalno košarico"
"Update Total","Posodobi skupni znesek"
"Update product quantities in shopping cart","Posodobi količino v nakupovalni košarici"
"Update product(s) quantities in shopping cart","Posodobi količine v nakupovalni košarici"
"Use Billing Address","Uporabi naslov za plačevanje"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Vaše naročilo je v obdelavi. Kmalu boste prejeli E-pošto s podrobnostmi vašega naročila. Ko bo vaše naročilo odposlano, boste prejeli elektronsko sporočilo s povezavo, preko katere boste lahko spremljali napredek vašega naročila."
"You have no items in your shopping cart.","V nakupovalni košarici nimate nobenega izdelka."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Na vaš e-naslov boste prejeli potrditev naročila in povezavo, preko katere boste lahko spremljali napredek vašega naročila."
"Your Checkout Progress","Napredek vašega naročila"
"Your billing agreement # is: %s.","Vaša pogodba o plačevanju # je: %s."
"Your order # is: %s.","Številka vašega naročila je: %s."
"Your order has been received","Vaše naročilo je bilo prejeto"
"Your order number is ","Številka vašega naročila je"
"Your recurring payment profiles:","Vaš privzeti profil za ponavljajoča plačila:"
"Zip/Postal Code","Poštna številka"
"osCommerce Orders","osCommerce naročila"
